UPC,Commodity_ID,Component_Type,Component_%,Primary_Flag,Supplier_ID,Region_#
353543257595,COM-010,Quality Testing,0.4849,Y,841296,3
353543257595,COM-004,Freight,0.2067,N,841296,3
353543257595,COM-012,Resin,0.3084,N,841296,3
258169176459,COM-013,Utilities,0.4257,Y,162535,4
258169176459,COM-007,Overhead,0.1396,N,162535,4
258169176459,COM-014,Warehousing,0.4347,N,162535,4
757475491416,COM-010,Quality Testing,0.1405,Y,553014,2
757475491416,COM-002,Co-manufacturing,0.6812,N,553014,2
757475491416,COM-007,Overhead,0.1783,N,553014,2
588129516415,COM-008,Packaging,0.3414,Y,290305,1
588129516415,COM-006,Labor,0.5001,N,290305,1
588129516415,COM-005,Ingredients,0.1585,N,290305,1
936717894940,COM-014,Warehousing,0.0526,Y,138479,5
936717894940,COM-001,Active Chemicals,0.3895,N,138479,5
936717894940,COM-011,Raw Materials,0.5579,N,138479,5
497363671483,COM-013,Utilities,0.3423,Y,893188,3
497363671483,COM-009,Pulp,0.6017,N,893188,3
497363671483,COM-008,Packaging,0.056,N,893188,3
706925050424,COM-008,Packaging,0.6056,Y,679077,5
706925050424,COM-002,Co-manufacturing,0.2481,N,679077,5
706925050424,COM-006,Labor,0.1463,N,679077,5
619606194160,COM-005,Ingredients,0.1677,Y,578975,5
619606194160,COM-010,Quality Testing,0.3639,N,578975,5
619606194160,COM-001,Active Chemicals,0.4684,N,578975,5
690328426008,COM-003,Fragrance,0.2965,Y,461888,1
690328426008,COM-012,Resin,0.6663,N,461888,1
690328426008,COM-004,Freight,0.0372,N,461888,1
992981382947,COM-003,Fragrance,0.2624,Y,504832,1
992981382947,COM-005,Ingredients,0.6094,N,504832,1
992981382947,COM-008,Packaging,0.1282,N,504832,1
257721695267,COM-008,Packaging,0.2876,Y,786587,1
257721695267,COM-005,Ingredients,0.5059,N,786587,1
257721695267,COM-002,Co-manufacturing,0.2065,N,786587,1
778759018230,COM-014,Warehousing,0.3423,Y,346174,3
778759018230,COM-008,Packaging,0.383,N,346174,3
778759018230,COM-009,Pulp,0.2747,N,346174,3
163548952306,COM-008,Packaging,0.3483,Y,475876,5
163548952306,COM-003,Fragrance,0.1016,N,475876,5
163548952306,COM-012,Resin,0.5501,N,475876,5
607803382689,COM-008,Packaging,0.0856,Y,366314,5
607803382689,COM-009,Pulp,0.184,N,366314,5
607803382689,COM-005,Ingredients,0.7304,N,366314,5
599290370034,COM-011,Raw Materials,0.1698,Y,308894,2
599290370034,COM-002,Co-manufacturing,0.7136,N,308894,2
599290370034,COM-012,Resin,0.1166,N,308894,2
417410688547,COM-002,Co-manufacturing,0.7409,Y,937665,1
417410688547,COM-006,Labor,0.1134,N,937665,1
417410688547,COM-014,Warehousing,0.1457,N,937665,1
584423393396,COM-005,Ingredients,0.4002,Y,707727,5
584423393396,COM-001,Active Chemicals,0.402,N,707727,5
584423393396,COM-010,Quality Testing,0.1978,N,707727,5
981923066620,COM-013,Utilities,0.5686,Y,591081,2
