UPC,Month_Start,Year,Month,Weighted_Commodity_Index,Expected_Cost,Actual_Item_Cost,Cost_Variance_$,Cost_Variance_%,Sale_Price_Proxy,Baseline_Unit_Margin,Actual_Unit_Margin,Margin_Impact_$,Supplier_Effect_Flag,Expected_Cost_YoY_%,Actual_Cost_YoY_%,Supplier_Streak,Negotiation_Flag,Price_Lag_Months_2024,Price_Lag_Months_2025
100228180081,2023-01-01,2023,1,100.0,9.3131,9.3131,0.0,0.0,12.57,3.2569,3.2569,0.0,Market,,,0,N,0,0
100228180081,2023-02-01,2023,2,100.94,9.4009,9.3131,-0.0878,-0.00934,12.57,3.2569,3.2569,0.0,Market,,,0,N,0,0
100228180081,2023-03-01,2023,3,102.33,9.5298,9.3131,-0.2167,-0.02274,12.57,3.2569,3.2569,0.0,Supplier,,,1,N,0,0
100228180081,2023-04-01,2023,4,101.76,9.4768,9.3131,-0.1637,-0.01727,12.57,3.2569,3.2569,0.0,Market,,,0,N,0,0
100228180081,2023-05-01,2023,5,102.23,9.5208,9.3131,-0.2077,-0.02182,12.57,3.2569,3.2569,0.0,Supplier,,,1,N,0,0
100228180081,2023-06-01,2023,6,102.95,9.5874,9.3131,-0.2743,-0.02861,12.57,3.2569,3.2569,0.0,Supplier,,,2,N,0,0
100228180081,2023-07-01,2023,7,104.24,9.7082,9.3131,-0.3951,-0.04069,12.57,3.2569,3.2569,0.0,Supplier,,,3,Y,0,0
100228180081,2023-08-01,2023,8,103.99,9.6844,9.3131,-0.3713,-0.03834,12.57,3.2569,3.2569,0.0,Supplier,,,4,Y,0,0
100228180081,2023-09-01,2023,9,104.45,9.7274,9.3131,-0.4143,-0.04259,12.57,3.2569,3.2569,0.0,Supplier,,,5,Y,0,0
100228180081,2023-10-01,2023,10,105.31,9.8074,9.3131,-0.4943,-0.0504,12.57,3.2569,3.2569,0.0,Supplier,,,6,Y,0,0
100228180081,2023-11-01,2023,11,104.46,9.7282,9.3131,-0.4151,-0.04267,12.57,3.2569,3.2569,0.0,Supplier,,,7,Y,0,0
100228180081,2023-12-01,2023,12,104.08,9.6932,9.3131,-0.3801,-0.03922,12.57,3.2569,3.2569,0.0,Supplier,,,8,Y,0,0
100228180081,2024-01-01,2024,1,103.38,9.6276,7.5422,-2.0854,-0.2166,11.87,4.3278,4.3278,-0.0,Supplier,0.03376963631873364,-0.19015150701699757,9,Y,0,0
100228180081,2024-02-01,2024,2,103.71,9.6585,7.5422,-2.1163,-0.21911,11.87,4.3278,4.3278,-0.0,Supplier,0.027401631758661393,-0.19015150701699757,10,Y,0,0
100228180081,2024-03-01,2024,3,104.5,9.7325,7.5422,-2.1903,-0.22505,11.87,4.3278,4.3278,-0.0,Supplier,0.021270121093831973,-0.19015150701699757,11,Y,0,0
100228180081,2024-04-01,2024,4,105.17,9.7948,7.5422,-2.2526,-0.22998,11.87,4.3278,4.3278,-0.0,Supplier,0.033555630592605024,-0.19015150701699757,12,Y,0,0
100228180081,2024-05-01,2024,5,105.49,9.8245,7.5422,-2.2823,-0.2323,11.87,4.3278,4.3278,-0.0,Supplier,0.03189857995126477,-0.19015150701699757,13,Y,0,0
100228180081,2024-06-01,2024,6,106.87,9.9531,7.5422,-2.4109,-0.24222,11.87,4.3278,4.3278,-0.0,Supplier,0.03814381375555409,-0.19015150701699757,14,Y,0,0
100228180081,2024-07-01,2024,7,106.43,9.9124,7.5422,-2.3702,-0.23911,11.87,4.3278,4.3278,-0.0,Supplier,0.021033765270596083,-0.19015150701699757,15,Y,0,0
100228180081,2024-08-01,2024,8,105.92,9.8644,7.5422,-2.3222,-0.23541,11.87,4.3278,4.3278,-0.0,Supplier,0.018586592871008945,-0.19015150701699757,16,Y,0,0
